"Endpoint ID","auto~Time_Angle#values.value","auto~Time_Button#values.value","auto~Time_CableWrap#values.value","auto~Time_Fader#values.value","auto~Time_ProbeGoal#values.value","auto~accX#values.value","auto~accY#values.value","auto~accZ#values.value","auto~angleValue#values.value","auto~cumForce#values.value","auto~faderValue#values.value","auto~gyroX#values.value","auto~gyroY#values.value","auto~gyroZ#values.value","auto~probeGoalState#values.value","auto~probeStartState#values.value","auto~pushButtonState#values.value","auto~resetButtonState#values.value","auto~startButtonState#values.value","auto~stopButtonState#values.value","auto~trialCounter#values.value","auto~trialPoints#values.value","auto~trialStarted#values.value","auto~trialTime#values.value","Date"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-11.71875","-7.8125","1046.142578","4077","0","4089","10.00976563","0.061035156","-0.549316406","0","1","1","1","1","1","1","0","0","0","2023-06-02 16:58:15"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","0.244140625","10.00976563","1068.847656","4076","0","4089","11.29150391","0.183105469","-0.183105469","0","1","1","1","1","1","1","0","0","0","2023-06-02 16:58:16"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-5.37109375","4.8828125","1058.837891","4078","0","4089","10.00976563","0","-0.061035156","0","1","1","1","1","1","1","0","0","0","2023-06-02 16:58:16"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-2.197265625","5.126953125","1075.439453","4077","0","4089","11.35253906","-0.671386719","-0.549316406","0","1","1","1","1","1","1","0","0","0","2023-06-02 16:58:16"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","3.662109375","14.6484375","1075.439453","4078","0","4092","9.948730469","-0.427246094","-0.48828125","0","1","1","1","1","1","1","0","0","0","2023-06-02 16:58:16"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","8.7890625","-0.732421875","1069.824219","4075","0","4089","11.10839844","-0.549316406","-0.305175781","0","1","1","1","1","1","1","0","0","0","2023-06-02 16:58:16"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-11.47460938","15.625","1063.232422","4077","0","4090","11.35253906","0.244140625","-0.48828125","0","1","1","1","1","1","1","0","0","0","2023-06-02 16:58:16"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-17.578125","-6.8359375","1060.791016","4077","0","4091","11.04736328","-0.610351563","-0.061035156","0","1","1","1","1","1","1","0","0","0","2023-06-02 16:58:16"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-4.150390625","17.578125","1072.753906","4077","0","4089","11.10839844","-0.48828125","0.061035156","0","1","1","1","1","1","1","0","0","0","2023-06-02 16:58:16"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-2.197265625","5.615234375","1060.058594","4082","0","4091","10.49804688","0.183105469","-0.122070313","0","1","1","1","1","1","1","0","0","0","2023-06-02 16:58:16"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-8.056640625","-4.150390625","1062.255859","4076","0","4090","11.41357422","-0.183105469","-0.48828125","0","1","1","1","1","1","1","0","0","0","2023-06-02 16:58:16"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","4.638671875","5.126953125","1093.017578","4075","0","4091","12.08496094","-0.305175781","-0.244140625","0","1","1","1","1","1","1","0","0","0","2023-06-02 16:58:16"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","0","4.39453125","1075.683594","4076","0","4089","10.7421875","0.122070313","-0.244140625","0","1","1","1","1","1","1","0","0","0","2023-06-02 16:58:17"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-8.056640625","9.521484375","1084.228516","4078","0","4090","10.49804688","0.48828125","-0.549316406","0","1","1","1","1","1","1","0","0","0","2023-06-02 16:58:18"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-2.9296875","8.30078125","1075.439453","4077","0","4090","10.55908203","-0.366210938","0.122070313","0","1","1","1","1","1","1","0","0","0","2023-06-02 16:58:23"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-4.8828125","2.685546875","1072.753906","4078","0","4091","10.31494141","-0.122070313","-0.610351563","0","1","1","1","1","1","1","0","0","0","2023-06-02 16:58:28"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-15.13671875","10.00976563","1072.998047","4076","0","4088","10.31494141","0.427246094","0.122070313","0","1","1","1","1","1","1","0","0","0","2023-06-02 16:58:33"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-6.34765625","10.00976563","1071.289063","4076","0","4090","10.31494141","-0.122070313","0.061035156","0","1","1","1","1","1","1","0","0","0","2023-06-02 16:58:38"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-3.90625","2.685546875","1104.003906","4077","0","4089","10.37597656","-0.610351563","-0.305175781","0","1","1","1","1","1","1","0","0","0","2023-06-02 16:58:43"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","0","13.18359375","1088.378906","4075","0","1","11.53564453","1.220703125","-0.122070313","1","1","1","1","1","1","1","0","0","0","2023-06-02 16:58:48"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-11.96289063","-0.48828125","1063.964844","4076","0","0","9.460449219","0.671386719","-0.183105469","1","1","1","1","1","1","1","0","0","0","2023-06-02 16:58:53"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-9.27734375","-1.708984375","1074.21875","4076","0","0","8.911132813","-0.610351563","0.061035156","1","1","1","1","1","1","1","0","0","0","2023-06-02 16:58:58"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-3.662109375","-7.568359375","1090.820313","4074","0","0","11.04736328","0.244140625","-0.549316406","1","1","1","1","1","1","1","0","0","0","2023-06-02 16:59:03"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-15.38085938","-0.732421875","1081.542969","4077","0","0","10.31494141","0.061035156","0","1","1","1","1","1","1","1","0","0","0","2023-06-02 16:59:08"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","4.150390625","13.42773438","1092.529297","4074","0","1","10.55908203","-0.305175781","-0.366210938","1","1","1","1","1","1","1","0","0","0","2023-06-02 16:59:13"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-7.568359375","12.6953125","1091.796875","4078","0","0","9.704589844","0.183105469","-0.122070313","1","1","1","1","1","1","1","0","0","0","2023-06-02 16:59:18"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","4.638671875","-3.662109375","1088.134766","4075","0","0","11.04736328","-0.183105469","0","1","1","1","1","1","1","1","0","0","0","2023-06-02 16:59:23"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","2.685546875","18.79882813","1082.763672","4075","0","0","11.47460938","-0.366210938","0.244140625","1","1","1","1","1","1","1","0","0","0","2023-06-02 16:59:28"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-16.6015625","12.6953125","1082.03125","4076","0","0","10.37597656","0.183105469","-0.244140625","1","1","1","1","1","1","1","0","0","0","2023-06-02 16:59:33"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-7.568359375","0.48828125","1068.847656","4073","0","0","10.7421875","0","0.061035156","1","1","1","1","1","1","1","0","0","0","2023-06-02 16:59:38"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-13.91601563","7.8125","1075.195313","4074","0","0","11.41357422","0.366210938","-0.122070313","1","1","1","1","1","1","1","0","0","0","2023-06-02 16:59:43"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","3.41796875","11.23046875","1084.472656","4075","0","1","10.43701172","-0.183105469","0.244140625","1","1","1","1","1","1","1","0","0","0","2023-06-02 16:59:48"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-16.11328125","-7.568359375","1078.125","4074","0","0","9.094238281","-0.244140625","-0.061035156","1","1","1","1","1","1","1","0","0","0","2023-06-02 16:59:53"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","6.591796875","1.708984375","1099.609375","4075","0","0","10.86425781","0.061035156","0","1","1","1","1","1","1","1","0","0","0","2023-06-02 16:59:58"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-2.9296875","12.20703125","1088.134766","4075","0","0","9.155273438","1.037597656","-0.305175781","1","1","1","1","0","1","2","0","1","0","2023-06-02 17:00:02"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","3.662109375","4.638671875","1042.480469","4074","0.122070313","1","12.08496094","-0.549316406","0.122070313","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:02"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-5.859375","16.35742188","1065.429688","4076","0.308105469","2","9.094238281","0.061035156","-0.061035156","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:02"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-11.47460938","10.25390625","1093.261719","4077","0.40234375","0","10.25390625","-0.244140625","-0.366210938","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:02"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-7.080078125","0.732421875","1064.941406","4076","0.607177734","0","10.07080078","-0.244140625","-0.366210938","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:02"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-9.27734375","10.49804688","1078.613281","4076","0.823974609","0","9.765625","0","-0.305175781","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:02"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-1.708984375","-2.197265625","1082.763672","4073","0.966552734","1","11.04736328","-0.427246094","-0.244140625","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:02"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-2.44140625","5.37109375","1082.763672","4077","0.902587891","0","11.77978516","0.244140625","-0.244140625","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:02"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","4.39453125","10.49804688","1074.21875","4077","1.023681641","0","9.948730469","0.122070313","-0.244140625","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:03"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-14.40429688","-0.732421875","1075.927734","4073","1.256591797","1","9.765625","0.061035156","0.061035156","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:03"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-4.39453125","2.44140625","1094.482422","4073","1.331787109","0","9.948730469","-0.183105469","0.244140625","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:03"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-9.27734375","11.47460938","1087.158203","4078","1.615478516","0","12.14599609","-0.366210938","-0.427246094","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:03"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-18.06640625","-6.8359375","1085.9375","4077","1.770263672","0","10.13183594","-0.183105469","-0.122070313","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:03"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-8.7890625","1.953125","1067.382813","4074","1.841308594","1","9.643554688","-0.366210938","-0.061035156","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:03"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-7.8125","10.7421875","1090.820313","4075","2.145996094","1","9.27734375","-0.244140625","-0.305175781","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:04"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-0.9765625","0.244140625","1065.185547","4075","2.291015625","0","9.948730469","0.122070313","0.061035156","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:04"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-6.591796875","-3.662109375","1072.265625","4077","2.43359375","0","10.49804688","0.366210938","-0.122070313","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:04"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","11.96289063","15.13671875","1080.078125","4077","2.503662109","1","9.643554688","0.244140625","-0.061035156","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:04"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-18.06640625","14.6484375","1077.148438","4074","2.762207031","0","10.25390625","-0.366210938","0","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:04"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-3.662109375","15.38085938","1077.148438","4075","2.855224609","0","11.16943359","0.061035156","0.183105469","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:04"
